FSA,Loss Dates,Number of Exposure_at_claim,$ Average Exposure_at_claim,Loss Frequency,Total $ Loss,event_start,event_end,climate_days_available,window_coverage_fraction,fwi_mean,fwi_max,fwi_p95,days_fwi_above_30,dc_max,dmc_max,ffmc_max,isi_max,bui_mean,Number of Exposure_current_portfolio,$ Average Exposure_current_portfolio,dominant_fuel_code,dominant_fuel_pct,n_valid_pixels,n_fuel_classes_present
T1H,"May 3 - May 18, 2016",9600,65158.68041518269,0.0,0.0,2016-05-03,2016-05-18,12,0.75,0.18360616633920776,0.7626333832740784,0.761147317290306,0,26.7182731628418,5.989471912384033,77.66976928710939,1.5700323581695557,3.4802230348189673,11700,71975.72004920854,101.0,0.6120054823797245,43047.0,4.0
T1J,"May 3 - May 18, 2016",13500,65710.53921883261,0.00148,32315.17039152131,2016-05-03,2016-05-18,12,0.75,0.1926351947855245,0.7601934669820188,0.7545094792377723,0,27.558261877128345,6.021504597970101,77.71569606601948,1.5320264285285137,3.788377443620034,16500,72585.3154938232,31.0,0.6711916826884408,385413.0,6.0
T1K,"May 3 - May 18, 2016",17000,76636.32528496177,0.00294,2985.461347349301,2016-05-03,2016-05-18,12,0.75,0.18360616633920776,0.7626333832740784,0.761147317290306,0,26.7182731628418,5.989471912384033,77.66976928710938,1.5700323581695557,3.4802230348189673,20700,84654.18051997892,31.0,0.7557900203291936,315802.0,5.0
T1L,"May 3 - May 18, 2016",1800,57069.41045073145,0.0,0.0,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,2100,63040.13346805139,101.0,0.7058440147729741,4603.0,11.0
T1M,"May 3 - May 18, 2016",4100,72877.57073492749,0.0,0.0,2016-05-03,2016-05-18,12,0.75,0.20598239639305513,0.7652516743923342,0.7481692373791095,0,29.086505257238912,6.063619341700301,77.77427650133829,1.4808025138279366,4.1834533029281955,5000,80502.17708002102,31.0,0.8646562996887451,651556.0,4.0
T1P,"May 3 - May 18, 2016",7200,75315.0898868901,0.00279,856.7480648568409,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,8700,83194.71466639248,31.0,0.8461780347478035,1125769.0,11.0
T1R,"May 3 - May 18, 2016",6600,73637.96193630554,0.0,0.0,2016-05-03,2016-05-18,12,0.75,0.2834175196046979,0.8635651387456488,0.777758147236327,0,38.64248492669388,6.41046384397621,77.79414471060767,1.5409420194848245,4.941311139071186,8100,81342.12202503122,31.0,0.5066571476635361,243723.0,4.0
T1S,"May 3 - May 18, 2016",13700,89806.27729195,0.00219,605.6955730428808,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,16700,99202.0008975018,31.0,0.666576606944205,1165893.0,13.0
T1V,"May 3 - May 18, 2016",7200,74014.51339381596,0.00277,171166.51217148863,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,8800,81758.06909635307,31.0,0.8078179637636874,217627.0,8.0
T1W,"May 3 - May 18, 2016",7300,72868.9820508524,0.00958,10810.861129555244,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,8900,80492.6898295635,3.0,0.3280297878298071,3407029.0,14.0
T1X,"May 3 - May 18, 2016",7700,96568.60896244716,0.00905,11284.880825250691,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,9400,106671.8220801019,31.0,0.7839798884302989,468586.0,11.0
T1Y,"May 3 - May 18, 2016",16500,67311.05281310646,0.00242,21848.696910961866,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,20200,74353.27822207952,101.0,0.9391349540913552,17317.0,6.0
T1Z,"May 3 - May 18, 2016",100,170436.1364388727,0.0,0.0,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,200,188267.52727998164,31.0,0.8219056699404899,282137.0,10.0
T2A,"May 3 - May 18, 2016",17700,58707.52125040624,0.00113,1817.9408773067712,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,21600,64849.62690124721,101.0,0.9835774937015956,21434.0,6.0
T2B,"May 3 - May 18, 2016",7700,59011.15828681423,0.0026,0.0,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,9400,65185.03108975776,101.0,0.8391611559018027,22078.0,6.0
T2C,"May 3 - May 18, 2016",7600,71758.30633744944,0.0,0.0,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,9300,79265.81286238172,101.0,0.7924790880153971,67545.0,7.0
T2E,"May 3 - May 18, 2016",14800,58158.38003056426,0.00068,0.0,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,18000,64243.03335983446,101.0,0.8826487994739368,56267.0,7.0
T2G,"May 3 - May 18, 2016",40500,66688.11571740099,0.00049,0.0,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,49300,73665.16812342385,101.0,0.8998936295946106,16922.0,6.0
T2H,"May 3 - May 18, 2016",3300,60551.32141088165,0.0,0.0,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,4000,66886.32935334508,101.0,0.9480410054767588,14242.0,6.0
T2J,"May 3 - May 18, 2016",17800,85080.3880601772,0.00112,153007.37568139256,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,21700,93981.67908984302,101.0,0.8832989546551061,28603.0,9.0
T2K,"May 3 - May 18, 2016",13100,64582.73389295447,0.0,0.0,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,15900,71339.51677770162,101.0,0.9943029490616622,14920.0,5.0
T2L,"May 3 - May 18, 2016",6100,69988.56720868188,0.00326,3228.080229024993,2016-05-03,2016-05-18,0,0.0,,,,0,,,,,,7500,77310.91986453913,101.0,0.99201779638838,7642.0,5.0
