FSA,Number of Exposure,$ Average Exposure,dominant_fuel_code,dominant_fuel_pct,n_valid_pixels,n_fuel_classes_present
T0A,28400,76356.64648115437,11.0,0.2351575013826005,42405596.0,13.0
T0B,31600,81099.02831742978,31.0,0.7510147652784673,34682651.0,12.0
T0C,31000,80253.43272883103,31.0,0.586367759245039,20985985.0,13.0
T0E,21800,73116.8642823324,101.0,0.2098423210800715,35333068.0,14.0
T0G,16500,69564.64878723389,2.0,0.2988464464872715,69320928.0,13.0
T0H,34200,75201.81994532674,2.0,0.2742430218251194,244152845.0,15.0
T0J,21800,80203.97660899107,13.0,0.5310800177877579,43432118.0,14.0
T0K,22900,79248.60684499696,31.0,0.5160024242802729,28374607.0,15.0
T0L,26200,96431.035386322,31.0,0.3161456323586905,31471632.0,14.0
T0M,37800,76129.13885186835,31.0,0.4003673525106271,23419467.0,15.0
T0N,100,93589.45208057806,,,,
T0P,700,62630.03959401069,4.0,0.2164447054108321,45095633.0,14.0
T0T,100,93790.65211645533,,,,
T0V,100,93839.21112671988,,,,
T1A,14600,65597.25405511705,13.0,0.660505545843581,1796751.0,5.0
T1B,13400,79611.4211191928,13.0,0.8448068208614845,4499373.0,13.0
T1C,3800,72711.64714056208,101.0,0.4080032336297494,12370.0,4.0
T1G,4900,75125.12480073638,31.0,0.6536465408477333,1074772.0,4.0
T1H,11700,71975.72004920854,101.0,0.6120054823797245,43047.0,4.0
T1J,16500,72585.3154938232,31.0,0.6711916826884408,385413.0,6.0
T1K,20700,84654.18051997892,31.0,0.7557900203291936,315802.0,5.0
T1L,2100,63040.13346805139,101.0,0.7058440147729741,4603.0,11.0
T1M,5000,80502.17708002102,31.0,0.8646562996887451,651556.0,4.0
T1P,8700,83194.71466639248,31.0,0.8461780347478035,1125769.0,11.0
T1R,8100,81342.12202503122,31.0,0.5066571476635361,243723.0,4.0
T1S,16700,99202.0008975018,31.0,0.666576606944205,1165893.0,13.0
T1V,8800,81758.06909635307,31.0,0.8078179637636874,217627.0,8.0
T1W,8900,80492.6898295635,3.0,0.3280297878298071,3407029.0,14.0
T1X,9400,106671.8220801019,31.0,0.7839798884302989,468586.0,11.0
T1Y,20200,74353.27822207952,101.0,0.9391349540913552,17317.0,6.0
T1Z,200,188267.52727998164,31.0,0.8219056699404899,282137.0,10.0
T2A,21600,64849.62690124721,101.0,0.9835774937015956,21434.0,6.0
T2B,9400,65185.03108975776,101.0,0.8391611559018027,22078.0,6.0
T2C,9300,79265.81286238172,101.0,0.7924790880153971,67545.0,7.0
T2E,18000,64243.03335983446,101.0,0.8826487994739368,56267.0,7.0
T2G,49300,73665.16812342385,101.0,0.8998936295946106,16922.0,6.0
T2H,4000,66886.32935334508,101.0,0.9480410054767588,14242.0,6.0
T2J,21700,93981.67908984302,101.0,0.8832989546551061,28603.0,9.0
T2K,15900,71339.51677770162,101.0,0.9943029490616622,14920.0,5.0
T2L,7500,77310.91986453913,101.0,0.99201779638838,7642.0,5.0
T2M,11200,89125.44489514937,101.0,0.999550022498875,6667.0,2.0
T2N,14700,81604.15614184449,101.0,0.9628805412141712,11234.0,6.0
T2P,8400,50136.902161981205,31.0,0.7195526710779443,94606.0,8.0
T2R,9500,32508.24834880854,101.0,1.0,1211.0,1.0
T2S,9500,82517.58102355458,101.0,0.9692379762648344,6404.0,6.0
T2T,16900,88110.95626867242,101.0,0.9937077050931972,8423.0,5.0
T2V,16100,85290.28591018418,101.0,0.6838223756472619,25492.0,11.0
T2W,18700,87797.62698608336,101.0,0.9196050046530866,19342.0,11.0
T2X,19800,96700.5429569404,101.0,0.5905172413793104,44080.0,9.0
T2Y,26300,88249.53245855648,31.0,0.4138340004659339,94434.0,13.0
T2Z,31000,91328.46910817544,101.0,0.8183511385999438,28456.0,8.0
T3A,23600,99045.9105972962,101.0,0.921455938697318,22968.0,7.0
T3B,18000,87603.58980913021,101.0,0.7513409478134663,31694.0,10.0
T3C,11900,63979.97337444538,101.0,0.8417841182536955,11636.0,8.0
T3E,20800,75101.07727345239,101.0,0.9796954314720812,18912.0,8.0
T3G,26400,95186.93131897536,101.0,0.8111759619541721,27756.0,11.0
T3H,33700,117153.61100319414,101.0,0.7454348040667259,40524.0,13.0
T3J,23200,79519.34012141172,101.0,0.8787859404483961,31267.0,7.0
T3K,33700,86009.41290967578,101.0,0.6625905145542608,41706.0,7.0
T3L,13700,114026.29359656436,101.0,0.3928163035135262,63839.0,12.0
T3M,19500,97724.09479311568,101.0,0.4654112621763817,38394.0,8.0
T3N,5800,78818.41339231476,31.0,0.5245354619209631,30568.0,7.0
T3P,7000,96338.24234410036,31.0,0.7909214136939201,90741.0,8.0
T3R,10500,109390.20043377893,31.0,0.5238242779683523,135555.0,12.0
T3S,200,90807.93396495625,31.0,0.5892829657644187,45479.0,8.0
T3T,100,99075.5475876244,,,,
T3Z,5500,172356.9119351768,31.0,0.3458348644017157,582382.0,13.0
T4A,7600,84832.26326027226,31.0,0.8146691735990343,552601.0,10.0
T4B,25100,83371.94463203147,31.0,0.6675154695953608,308670.0,11.0
T4C,16100,97592.17096766183,31.0,0.3762163161801402,789474.0,12.0
T4E,1200,107168.55589281976,31.0,0.7703552878162022,771065.0,13.0
T4G,6500,72890.30388869376,31.0,0.7934816477109627,1222763.0,13.0
T4H,6400,80183.63180473303,31.0,0.8545174280354176,1171618.0,12.0
T4J,5600,81284.07217408663,31.0,0.8062125655036406,1161195.0,12.0
T4K,100,96022.38322569024,,,,
T4L,8900,83051.38007046479,31.0,0.8092969997165321,804324.0,12.0
T4M,1000,79566.87412241349,31.0,0.5140037172338653,15603.0,10.0
T4N,21500,68324.90458823598,101.0,0.632828202265114,31345.0,11.0
T4P,13700,72577.69926735172,101.0,0.4584204110066179,45936.0,11.0
T4R,16700,84474.79231996647,101.0,0.7932208004356112,22038.0,9.0
T4S,12700,82496.70594735706,31.0,0.6653323851417816,234833.0,12.0
T4T,7500,78137.22549569096,3.0,0.3367614673224807,8003285.0,14.0
T4V,12600,77835.44543824572,31.0,0.7352939598035796,186335.0,10.0
T4X,9200,99621.45918097488,31.0,0.771997596232511,672278.0,12.0
T5A,13200,61476.17118076872,101.0,0.9188717447462124,14323.0,10.0
T5B,6200,65735.03146467003,101.0,0.9153490634882024,8222.0,10.0
