FSA,Loss Dates,Number of Exposure,$ Average Exposure,Loss Frequency,Total $ Loss
T5B,"May 3 - May 18, 2016",5100,59509.06645129855,0.00392,613.8643305133509
T5C,"May 3 - May 18, 2016",4900,64887.72513988492,0,0
T5E,"May 3 - May 18, 2016",10100,63240.95624803471,0.00597,6090.628413631659
T5G,"May 3 - May 18, 2016",4000,58422.45859257271,0.01247,2557.113317106968
T5H,"May 3 - May 18, 2016",7300,41137.13094745153,0.00275,4261.082502374291
T5J,"May 3 - May 18, 2016",21400,51205.36116500086,0.00234,105062.69000662056
T5K,"May 3 - May 18, 2016",12000,31756.69963000188,0.01251,48403.63790819474
T5L,"May 3 - May 18, 2016",5800,61427.23899475984,0,0
T5M,"May 3 - May 18, 2016",5600,56136.23763698426,0.00354,62.203005478020806
T5N,"May 3 - May 18, 2016",6500,72005.50711379,0,0
T5P,"May 3 - May 18, 2016",6500,54389.69703072631,0.00615,8055.225141547617
T5R,"May 3 - May 18, 2016",9400,74792.12297597832,0.00532,8849.338692122778
T5S,"May 3 - May 18, 2016",2200,66803.56366780553,0.01843,18228.950961222206
T5T,"May 3 - May 18, 2016",24200,67662.32346786896,0.00908,240287.97385310064
T5V,"May 3 - May 18, 2016",100,72451.87443551599,0,0
T5W,"May 3 - May 18, 2016",6600,66455.49455305893,0.0061,20908.61705392388
T5X,"May 3 - May 18, 2016",12700,72169.39973935009,0.01026,156945.211714172
T5Y,"May 3 - May 18, 2016",15900,68521.00702220124,0.00629,203461.7495196254
T5Z,"May 3 - May 18, 2016",10200,84292.72918129046,0.00588,15057.405206669906
T6A,"May 3 - May 18, 2016",5600,70546.26104984,0.00357,929.9981113378219
T6B,"May 3 - May 18, 2016",3700,68253.1134455121,0,0
T6C,"May 3 - May 18, 2016",8600,64568.415332824305,0.00232,0
T6E,"May 3 - May 18, 2016",10100,48577.397901529876,0.00197,0
T6G,"May 3 - May 18, 2016",5200,62179.72408729802,0.00957,193166.0927251801
T6H,"May 3 - May 18, 2016",11300,65910.56148116544,0.00618,49946.49360847391
T6J,"May 3 - May 18, 2016",16300,74684.87466589053,0.00122,117924.55022339658
T6K,"May 3 - May 18, 2016",8500,64900.73928533363,0.00236,16913.425876162943
T6L,"May 3 - May 18, 2016",15700,69755.2139102255,0.00255,13099.001981268873
