term,model,coef,std_err,p_value,significant (p<0.05)
const,Frequency (Negative Binomial),-0.5369965642640274,0.7436531317210758,0.4702291641545244,False
fwi_max,Frequency (Negative Binomial),0.23873111102070982,0.1783098972244887,0.18061785685843423,False
dc_max,Frequency (Negative Binomial),-0.025198103960072275,0.003445801519949534,2.6183213246032137e-13,True
dominant_fuel_pct,Frequency (Negative Binomial),-4.457998511903589,0.9083042404473207,9.198853085735466e-07,True
alpha,Frequency (Negative Binomial),10.502437410740097,1.3714416207248425,1.8891791741748063e-14,True
const,Severity (Gamma),7.8433591507349725,0.6787678381071397,6.941284193837995e-31,True
fwi_max,Severity (Gamma),0.03025947856081157,0.164564912814204,0.8541110159173453,False
dc_max,Severity (Gamma),0.0025492352557911296,0.0033896742961036013,0.45201554421402557,False
dominant_fuel_pct,Severity (Gamma),-1.4552911601855425,0.8331409486368011,0.08068025317529148,False
